model,n_targets,pearson,pearson_95ci_item_cluster_bootstrap,mean_absolute_half_difference,mean_absolute_half_difference_95ci_item_cluster_bootstrap,constant_target_fraction_across_runs
claude-sonnet-4-5,45,0.9108267607173757,"[0.8020967142376823, 0.964372896280048]",0.1677777777777778,"[0.10222222222222221, 0.23444444444444443]",0.28888888888888886
gemini-3-pro,45,0.8937542618653737,"[0.7467955938299247, 0.9609609327101555]",0.17333333333333334,"[0.10222222222222223, 0.25333333333333324]",0.3111111111111111
gpt-5-2,45,0.9223172747853983,"[0.8213214288412559, 0.9697055351627095]",0.13777777777777778,"[0.08444444444444446, 0.19555555555555554]",0.26666666666666666
grok-4-3,45,0.8984574316213811,"[0.8128617150985785, 0.9453467750533624]",0.19111111111111106,"[0.1377777777777778, 0.2444444444444444]",0.2222222222222222
mistral-large-3,45,0.882749410057953,"[0.7014811744045187, 0.9469378431158416]",0.15111111111111114,"[0.09777777777777778, 0.2]",0.35555555555555557
qwen3-max,45,0.9371452479570421,"[0.8713630154127128, 0.9706220373519624]",0.13333333333333333,"[0.08444444444444442, 0.19111111111111106]",0.3333333333333333
